DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
0.272919064,0.42654392,0.26371308,1.95818949,3.094744918,0.212696586,0.178174147,4.782508631,0.179324895,1.202915228,0.370924434,0.321442271,0.261219793,0.270042194,0.730724971,0.81549674,1.337744534,1.153049482,0.387418489,0.529535865,0.209819716,0.349252014,0.227080936,0.94380514,1.659762179,0.890678941,0.204449559,0.24357499,0.569236671,0.13981588,0.379363253,1.676064442,0.522056003,0.427119294,0.48849252,0.73782125,0.606252397,0.36306099,0.574223245,0.34867664,0.335059455,0.418296893,0.358074415,0.153122807,0.895157895,0.15522807,1.807298246,0.302596491,0.33922807,1.266385965,0.169122807,0.188912281,0.183017544,0.12322807,0.144842105,0.183157895,0.173333333,0.125473684,0.269192982,0.149754386,0.623017544,0.284070175,1.746245614,2.459087719,0.189614035,1.421192982,0.821333333,0.201824561,0.221333333,0.205333333,0.12322807,0.167017544,0.503017544,0.196070175,0.280140351,0.253333333,1.070175439,1,1,1,1
0.316216216,0.494840295,0.302457002,2.275429975,3.322604423,0.24987715,0.203194103,2.657985258,0.251597052,1.457248157,0.418673219,0.322604423,0.271744472,0.320884521,0.846437346,0.697297297,1.558230958,1.167321867,0.458476658,0.795331695,0.371007371,0.404668305,0.192628993,1.112776413,2.147420147,1.093120393,0.27027027,0.279361179,0.68968059,0.21031941,0.360687961,2.043734644,0.891154791,0.44963145,0.444226044,0.765110565,0.627027027,0.323587224,0.627272727,0.286977887,0.298034398,0.347174447,0.346191646,0.161711265,0.950445986,0.160224645,1.316484969,0.28526594,0.295176743,1.181367691,0.06987116,0.154608523,0.172447968,0.131648497,0.160720185,0.191608854,0.193756194,0.123554675,0.191939214,0.098116947,0.559629997,0.294350842,1.515857284,2.450941526,0.173108688,1.379088206,1.025933267,0.328873472,0.1579142423471741,0.1347617489937106,0.131648497,0.188470433,0.469606871,0.186983812,0.1831345384551724,0.2054395747469136,1.259828213,1,0,1,3
0.424568566,0.659862683,0.276118018,2.081833364,3.193542401,0.229356096,0.164594544,2.291705326,0.209129709,1.338281685,0.539803303,0.292447578,0.301169048,0.273705697,0.711449248,0.50992763,1.441083689,2.017999629,0.421228428,0.587678605,0.389497124,0.338838374,0.175357209,0.953423641,2.372796437,1.313787345,0.242716645,0.247170161,0.712377064,0.167749119,0.435145667,1.826683986,0.299870106,0.394136203,0.288921878,0.647986639,0.604193728,0.291890889,0.462794582,0.302839117,0.246056782,0.362404899,0.312859529,0.181480334,0.787240632,0.166305358,2.128058222,0.322235986,0.52725302,1.312325797,0.25209043,0.178228554,0.188293589,0.102198823,0.14694952,0.137658718,0.173273459,0.150975534,0.18968721,0.105295757,0.528027253,0.304738309,1.386497368,2.178228554,0.155775782,1.203933106,1.006968102,0.256271291,0.196965005,0.157788789,0.102198823,0.156085475,0.448745742,0.20795912,0.214307835,0.281511304,1.688138743,0,0,0,6
0.522842189,0.852922913,0.337886987,2.343386854,4.015523818,0.181850439,0.147165794,2.840060321,0.239332919,1.507495786,0.585026169,0.266566131,0.321032556,0.23285727,0.832786304,0.605074071,1.591235696,2.003016056,0.437062007,0.698571809,0.370974896,0.340193382,0.160915462,1.805819214,2.744344895,1.322895414,0.229308968,0.273130489,0.775924776,0.147875455,0.492149383,2.363079925,0.320943848,0.208551406,0.242437683,0.181140779,0.197817795,0.36077353,0.203938614,0.345959372,0.278275526,0.419852745,0.303202342,0.255183326,1.210824967,0.186436054,2.678633784,0.353557399,0.787701877,1.385039284,0.512167176,0.181252728,0.210224793,0.128328241,0.16324749,0.187199913,0.330150589,0.139622436,0.251254911,0.153426451,0.520187691,0.357976866,1.546922741,2.295886076,0.164611523,1.327531646,0.937690965,0.246508075,0.146006111,0.116706678,0.128328241,0.12789175,0.417994326,0.230139677,0.161392405,0.198166739,1.562036229,0,0,0,6
0.334410049,0.578375953,0.387528039,2.869627636,5.224943921,0.219201436,0.189322566,3.837236429,0.280035891,1.476267384,0.388873934,0.320861373,0.305069538,0.290174966,1.137729924,0.943382683,1.98017048,1.251323463,0.472319426,0.912337371,0.264333782,0.35666218,0.157290265,2.12803948,3.604127411,1.185105428,0.250157021,0.33073127,0.796141768,0.157290265,0.398115747,2.996590399,1.037595334,0.464244056,0.469717362,0.861103634,0.540960072,0.432391207,0.612113055,0.302288022,0.30453118,0.43867205,0.301031853,0.211571852,1.182923093,0.156980901,1.308446533,0.300888571,0.408742723,0.998519048,0.131957921,0.151720968,0.208099275,0.143396997,0.163568583,0.237054438,0.187621285,0.119701767,0.226636707,0.134307017,0.592380758,0.311459504,1.200592381,2.383719743,0.181135737,1.444847309,0.810693494,0.234143601,0.151261362,0.135787969,0.143396997,0.126493719,0.567817383,0.147022776,0.190123583,0.205443775,1.268256562,1,0,1,3
0.301764706,0.536568627,0.298627451,2.331666667,3.827254902,0.194019608,0.154901961,2.623333333,0.19754902,1.001764706,0.54,0.295392157,0.328137255,0.230686275,0.830882353,0.819901961,1.64754902,2.173823529,0.45372549,0.63254902,0.228431373,0.302647059,0.146666667,1.325098039,2.771176471,1.221470588,0.227254902,0.278627451,0.684705882,0.138431373,0.336862745,2.157156863,0.268529412,0.373333333,0.297254902,0.696666667,0.469215686,0.309607843,0.469313725,0.310294118,0.238529412,0.347647059,0.185490196,0.224536724,1.196266739,0.190382795,1.925605302,0.363249019,0.492154741,0.950290816,0.087785743,0.164209387,0.201609631,0.119099148,0.172325172,0.221155147,0.164412282,0.11876099,0.294129582,0.17394833,0.539091032,0.303192209,2.22832409,2.611592047,0.139726769,1.198701474,0.981333694,0.223522251,0.140605979,0.123630461,0.119099148,0.118558095,0.526376302,0.119234411,0.156161234,0.153726498,2.067361017,1,0,0,2
0.327989392,0.557618129,0.363548698,2.900675024,4.954676953,0.237825458,0.18635487,3.783630665,0.255665381,1.31545323,0.378134041,0.325699132,0.31388621,0.290019286,0.982160077,0.884522662,1.946480231,1.280255545,0.452627772,0.878495661,0.270009643,0.37704918,0.169479267,1.81039055,3.360655738,1.227097396,0.264705882,0.370057859,0.786764706,0.167671167,0.397420444,2.81485053,0.931774349,0.479387657,0.466489875,0.837391514,0.557738669,0.397540984,0.615838959,0.298457088,0.305689489,0.416586307,0.286764706,0.184118507,1.151757899,0.145145909,1.219848687,0.281772522,0.350626232,1.020789624,0.122194672,0.142348528,0.198931909,0.139360417,0.157416238,0.220039418,0.176997902,0.109733613,0.20815055,0.130332507,0.612880666,0.296649501,1.503337784,2.290418971,0.174454829,1.283044059,0.803102549,0.226397101,0.143175027,0.115773412,0.139360417,0.123784093,0.554326403,0.131540467,0.175090597,0.187360926,1.272299574,1,0,1,3
0.956488032,1.10844074,0.384048842,2.662564202,4.606357205,0.203798818,0.171625157,2.311948832,0.253609846,2.097683884,1.120069774,0.273476112,0.341118325,0.269696676,0.87615079,0.528636496,1.753173757,1.841069871,0.426010272,0.742029266,0.757631553,0.353813354,0.19032852,1.669347805,3.174047873,1.660238395,0.270278128,0.323868592,0.887973641,0.170656071,0.529702491,2.748812869,0.344510127,0.427076267,0.332784185,0.710630875,0.581742417,0.389475724,0.556158542,0.317666441,0.283748425,0.440062022,0.229867235,0.179673721,0.940806878,0.151069224,1.268573633,0.289792769,0.432925485,1.024305556,0.173941799,0.129243827,0.172123016,0.106922399,0.147597002,0.200341711,0.189539242,0.095458554,0.224206349,0.122905644,0.472773369,0.27281746,1.373346561,2.361882716,0.115575397,0.882550705,0.852623457,0.192405203,0.102237654,0.1347617489937106,0.106922399,0.1310530394368159,0.40316358,0.108300265,0.114087302,0.129905203,1.809744268,0,1,0,4
0.611698818,0.926926838,0.383856343,2.578540315,4.336474353,0.203395857,0.16454796,2.870832963,0.233531869,1.641212552,0.689039026,0.307049516,0.331496133,0.267223753,0.884256378,0.732242866,1.708774113,1.972975376,0.393012712,0.750288915,0.406880612,0.332562894,0.161614366,1.840785848,3.650902302,1.498977687,0.249177705,0.319583963,0.864521291,0.153613655,0.54627078,2.638278958,0.351853498,0.421637479,0.30278247,0.751977954,0.568406081,0.371944173,0.680682727,0.359676416,0.26260112,0.436661037,0.206596142,0.249289575,1.15490054,0.188945228,2.264222433,0.361007411,0.680057948,1.906335321,0.351646515,0.154343344,0.21050872,0.113556583,0.174068089,0.154343344,0.26907004,0.122025965,0.227113167,0.132724132,0.507104251,0.316821753,1.584331643,2.404245835,0.13885329,1.189390985,0.961664902,0.225664456,0.137348861,0.109099014,0.113556583,0.117345517,0.554800245,0.182035995,0.148214186,0.17830278,1.822198696,0,0,0,6
0.447506385,0.62817583,0.36738809,2.38593897,4.807635435,0.218577766,0.176233365,2.14128243,0.195187525,1.442398172,0.566339562,0.289823901,0.363892996,0.26683694,0.85912085,0.521306627,1.538244388,1.968275306,0.495899987,0.672402205,0.36940449,0.357171663,0.179728458,1.227449926,2.956983466,1.447909665,0.250840167,0.284043554,0.704395752,0.156875924,0.391047184,2.467132679,0.327597795,0.404489851,0.296276381,0.674418605,0.539723081,0.354214276,0.51431644,0.347224089,0.303132141,0.412824304,0.382578304,0.162330317,0.77969457,0.186792986,1.634615385,0.28803733,0.332367081,1.12344457,0.175692873,0.150593891,0.183823529,0.106476244,0.13956448,0.174844457,0.130514706,0.115243213,0.236849548,0.13645362,0.478577489,0.244485294,1.507777149,2.003535068,0.120687217,0.920178167,0.843679299,0.190469457,0.131575226,0.1347617489937106,0.106476244,0.109445701,0.439833145,0.11665724,0.140766403,0.14218043,1.816388575,1,1,0,0
